Industry,Year,Occupation,Employed_Residents
Accommodation & Food Services,2015,Other Occupation Groups Nes,0.00 
Accommodation & Food Services,2015,Plant & Machine Operators & Assemblers,2.40 
Accommodation & Food Services,2015,Professionals,1.70 
Accommodation & Food Services,2015,Service & Sales Workers,56.90 
Accommodation & Food Services,2016,All Occupation Groups,138.20 
Accommodation & Food Services,2016,Associate Professionals & Technicians,10.40 
Accommodation & Food Services,2016,"Cleaners, Labourers & Related Workers",44.00 
Accommodation & Food Services,2016,Clerical Support Workers,6.90 
Accommodation & Food Services,2016,Craftsmen & Related Trades Workers,1.60 
Accommodation & Food Services,2016,Managers & Administrators (Including Working Proprietors),11.60 
Accommodation & Food Services,2016,Other Occupation Groups Nes,0.00 
Accommodation & Food Services,2016,Plant & Machine Operators & Assemblers,2.40 
Accommodation & Food Services,2016,Professionals,1.60 
Accommodation & Food Services,2016,Service & Sales Workers,59.60 
Accommodation & Food Services,2017,All Occupation Groups,134.40 
Accommodation & Food Services,2017,Associate Professionals & Technicians,9.70 
Accommodation & Food Services,2017,"Cleaners, Labourers & Related Workers",40.30 
Accommodation & Food Services,2017,Clerical Support Workers,7.90 
Accommodation & Food Services,2017,Craftsmen & Related Trades Workers,2.10 
Accommodation & Food Services,2017,Managers & Administrators (Including Working Proprietors),12.70 
Accommodation & Food Services,2017,Other Occupation Groups Nes,0.10 
Accommodation & Food Services,2017,Plant & Machine Operators & Assemblers,2.40 
Accommodation & Food Services,2017,Professionals,1.90 
Accommodation & Food Services,2017,Service & Sales Workers,57.20 
Accommodation & Food Services,2018,All Occupation Groups,134.40 
Accommodation & Food Services,2018,Associate Professionals & Technicians,13.60 
Accommodation & Food Services,2018,"Cleaners, Labourers & Related Workers",38.60 
Accommodation & Food Services,2018,Clerical Support Workers,9.00 
Accommodation & Food Services,2018,Craftsmen & Related Trades Workers,2.20 
Accommodation & Food Services,2018,Managers & Administrators (Including Working Proprietors),10.30 
Accommodation & Food Services,2018,Other Occupation Groups Nes,0.00 
Accommodation & Food Services,2018,Plant & Machine Operators & Assemblers,2.50 
Accommodation & Food Services,2018,Professionals,1.70 
Accommodation & Food Services,2018,Service & Sales Workers,56.50 
Accommodation & Food Services,2019,All Occupation Groups,131.80 
Accommodation & Food Services,2019,Associate Professionals & Technicians,10.50 
Accommodation & Food Services,2019,"Cleaners, Labourers & Related Workers",41.50 
Accommodation & Food Services,2019,Clerical Support Workers,7.40 
Accommodation & Food Services,2019,Craftsmen & Related Trades Workers,1.60 
Accommodation & Food Services,2019,Managers & Administrators (Including Working Proprietors),11.50 
Accommodation & Food Services,2019,Other Occupation Groups Nes,0.10 
Accommodation & Food Services,2019,Plant & Machine Operators & Assemblers,2.00 
Accommodation & Food Services,2019,Professionals,1.80 
Accommodation & Food Services,2019,Service & Sales Workers,55.40 
Accommodation & Food Services,2020,All Occupation Groups,128.90 
Accommodation & Food Services,2020,Associate Professionals & Technicians,13.30 
Accommodation & Food Services,2020,"Cleaners, Labourers & Related Workers",33.90 
Accommodation & Food Services,2020,Clerical Support Workers,9.40 
Accommodation & Food Services,2020,Craftsmen & Related Trades Workers,1.00 
Accommodation & Food Services,2020,Managers & Administrators (Including Working Proprietors),9.20 
Accommodation & Food Services,2020,Other Occupation Groups Nes,0.10 
Accommodation & Food Services,2020,Plant & Machine Operators & Assemblers,1.80 
Accommodation & Food Services,2020,Professionals,2.80 
Accommodation & Food Services,2020,Service & Sales Workers,57.30 
Accommodation & Food Services,2021,All Occupation Groups,125.20 
Accommodation & Food Services,2021,Associate Professionals & Technicians,11.70 
Accommodation & Food Services,2021,"Cleaners, Labourers & Related Workers",31.40 
Accommodation & Food Services,2021,Clerical Support Workers,8.40 
Accommodation & Food Services,2021,Craftsmen & Related Trades Workers,1.20 
Accommodation & Food Services,2021,Managers & Administrators (Including Working Proprietors),10.00 
Accommodation & Food Services,2021,Other Occupation Groups Nes,0.10 
Accommodation & Food Services,2021,Plant & Machine Operators & Assemblers,2.20 
Accommodation & Food Services,2021,Professionals,2.50 
Accommodation & Food Services,2021,Service & Sales Workers,57.80 
Accommodation & Food Services,2022,All Occupation Groups,126.60 
Accommodation & Food Services,2022,Associate Professionals & Technicians,13.40 
Accommodation & Food Services,2022,"Cleaners, Labourers & Related Workers",31.60 
Accommodation & Food Services,2022,Clerical Support Workers,7.60 
Accommodation & Food Services,2022,Craftsmen & Related Trades Workers,1.10 
Accommodation & Food Services,2022,Managers & Administrators (Including Working Proprietors),9.80 
Accommodation & Food Services,2022,Other Occupation Groups Nes,0.00 
Accommodation & Food Services,2022,Plant & Machine Operators & Assemblers,2.30 
Accommodation & Food Services,2022,Professionals,2.90 
